"Iter","Time","α","step","UB","LB","Hk","Zk","Gap","Example","Method","δ"
"1.0","4.0","2.0","0.0003860689820238964","221049.78764486976","60994.79041594896","60994.79041594896","221049.78764486976","2.624076517640915","Example4 Product-Temporal","subgradient","0.9"
"2.0","4.0","2.0","5.7912608530738404e-5","122899.5462963938","60994.79041594896","16259.140153216376","122899.5462963938","1.014918740736552","Example4 Product-Temporal","subgradient","0.9"
"3.0","4.0","2.0","0.00015152692372261318","122899.5462963938","61282.34506682615","61282.34506682615","293257.00040702336","1.0054641538664415","Example4 Product-Temporal","subgradient","0.9"
"4.0","4.0","2.0","0.00016297912274310778","122899.5462963938","63769.82540198589","63769.82540198589","420835.05344851967","0.9272366753660036","Example4 Product-Temporal","subgradient","0.9"
"5.0","4.0","2.0","0.0002490870755116923","122899.5462963938","63769.82540198589","63116.87605381977","683023.618336966","0.9272366753660036","Example4 Product-Temporal","subgradient","0.9"
"6.0","4.0","1.8","0.00031984981748297994","122899.5462963938","64585.77805401383","64585.77805401383","1.1558759959830528e6","0.9028886853946624","Example4 Product-Temporal","subgradient","0.9"
"7.0","4.0","1.8","0.00044130513556700333","122899.5462963938","64585.77805401383","64509.58436057224","1.884290103068769e6","0.9028886853946624","Example4 Product-Temporal","subgradient","0.9"
"8.0","4.0","1.8","0.0006204774406413371","122899.5462963938","64585.77805401383","28127.63608923446","2.9047002046501953e6","0.9028886853946624","Example4 Product-Temporal","subgradient","0.9"
"9.0","4.0","1.8","0.0009177517478397075","122899.5462963938","64975.59641071525","64975.59641071525","4.758452925400216e6","0.8914723847940887","Example4 Product-Temporal","subgradient","0.9"
"10.0","4.0","1.8","0.0013037750358473098","122899.5462963938","64975.59641071525","33920.75707591706","8.015825957149085e6","0.8914723847940887","Example4 Product-Temporal","subgradient","0.9"
"11.0","5.0","1.62","0.0019435560157102392","122899.5462963938","66116.01547770068","66116.01547770068","1.3048713548673715e7","0.8588468377657275","Example4 Product-Temporal","subgradient","0.9"
"12.0","5.0","1.62","0.002735341327286061","122899.5462963938","66116.01547770068","49199.40118826422","2.019047097178339e7","0.8588468377657275","Example4 Product-Temporal","subgradient","0.9"
"13.0","5.0","1.62","0.004118804899906207","122899.5462963938","67538.53012667797","67538.53012667797","3.0113702427705128e7","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"14.0","5.0","1.62","0.006048215183864351","122899.5462963938","67538.53012667797","55770.66663270202","4.592188136576671e7","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"15.0","5.0","1.62","0.009194195988603491","122899.5462963938","67538.53012667797","67211.7064533341","6.837464041890576e7","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"16.0","5.0","1.4580000000000002","0.0123169610901241","122899.5462963938","67538.53012667797","46922.5831634503","1.0398266239950217e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"17.0","5.0","1.4580000000000002","0.016891219839845345","122899.5462963938","67538.53012667797","65177.70239008506","1.3964868218327087e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"18.0","5.0","1.4580000000000002","0.022668710991276986","122899.5462963938","67538.53012667797","41825.80807699362","1.915314693002036e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"19.0","5.0","1.4580000000000002","0.03112674344105473","122899.5462963938","67538.53012667797","64187.46586770336","2.5734609849909034e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"20.0","5.0","1.4580000000000002","0.041810054778053406","122899.5462963938","67538.53012667797","41825.80807699362","3.5327467128567874e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"21.0","5.0","1.3122000000000003","0.051691008648858346","122899.5462963938","67538.53012667797","64187.46586770336","4.7479287109417695e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"22.0","5.0","1.3122000000000003","0.06251637330798172","122899.5462963938","67538.53012667797","41825.80807699362","5.868809015305675e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"23.0","5.0","1.3122000000000003","0.07730319864636388","122899.5462963938","67538.53012667797","64187.46586770336","7.100128006733224e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"24.0","5.0","1.3122000000000003","0.09351280642019774","122899.5462963938","67538.53012667797","41825.80807699362","8.77830619070811e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"25.0","5.0","1.3122000000000003","0.11564350201644814","122899.5462963938","67538.53012667797","64187.46586770336","1.0621265191656743e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"26.0","5.0","1.1809800000000004","0.125921772915411","122899.5462963938","67538.53012667797","41825.80807699362","1.3133693386031783e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"27.0","5.0","1.1809800000000004","0.14015790457177457","122899.5462963938","67538.53012667797","64187.46586770336","1.4302863543250997e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"28.0","5.0","1.1809800000000004","0.15262285295774652","122899.5462963938","67538.53012667797","41825.80807699362","1.5918483948586054e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"29.0","5.0","1.1809800000000004","0.1698824459370107","122899.5462963938","67538.53012667797","64187.46586770336","1.7336056603701334e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"30.0","5.0","1.1809800000000004","0.18499881465714504","122899.5462963938","67538.53012667797","41825.80807699362","1.9295136595263684e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"31.0","5.0","1.0628820000000003","0.18533201097956767","122899.5462963938","67538.53012667797","64187.46586770336","2.101390567184083e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"32.0","6.0","1.0628820000000003","0.18164382871562745","122899.5462963938","67538.53012667797","41825.80807699362","2.1050178466220193e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"33.0","6.0","1.0628820000000003","0.1819706159941859","122899.5462963938","67538.53012667797","64187.46586770336","2.0632785505181477e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"34.0","6.0","1.0628820000000003","0.1783487213304721","122899.5462963938","67538.53012667797","41825.80807699362","2.0668330244091089e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"35.0","6.0","1.0628820000000003","0.17866921395142643","122899.5462963938","67538.53012667797","64187.46586770336","2.0258467431221735e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"36.0","6.0","0.9565938000000003","0.1576011814300857","122899.5462963938","67538.53012667797","41825.80807699362","2.0293297108728125e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"37.0","6.0","0.9565938000000003","0.14209383594386715","122899.5462963938","67538.53012667797","64187.46586770336","1.7901585464369135e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"38.0","6.0","0.9565938000000003","0.12533248975876765","122899.5462963938","67538.53012667797","41825.80807699362","1.6138402153918164e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"39.0","6.0","0.9565938000000003","0.11299653472305772","122899.5462963938","67538.53012667797","64187.46586770336","1.4235922072024477e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"40.0","6.0","0.9565938000000003","0.09966134450450087","122899.5462963938","67538.53012667797","41825.80807699362","1.2833002821724231e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"41.0","6.0","0.8609344200000003","0.08086353143975118","122899.5462963938","67538.53012667797","64187.46586770336","1.1319727689040864e9","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"42.0","6.0","0.8609344200000003","0.06418075118263863","122899.5462963938","67538.53012667797","41825.80807699362","9.182753378038123e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"43.0","6.0","0.8609344200000003","0.052069350079519267","122899.5462963938","67538.53012667797","64187.46586770336","7.289198239524261e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"44.0","6.0","0.8609344200000003","0.04131740568161949","122899.5462963938","67538.53012667797","41825.80807699362","5.911787898562161e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"45.0","6.0","0.8609344200000003","0.033514662707582306","122899.5462963938","67538.53012667797","64187.46586770336","4.6919646893302375e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"46.0","6.0","0.7748409780000003","0.0239260415642879","122899.5462963938","67538.53012667797","41825.80807699362","3.8040099028349847e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"47.0","6.0","0.7748409780000003","0.017460672576577848","122899.5462963938","67538.53012667797","64187.46586770336","2.716338052923915e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"48.0","6.0","0.7748409780000003","0.012453476097021736","122899.5462963938","67538.53012667797","41825.80807699362","1.980306465345056e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"49.0","6.0","0.7748409780000003","0.009081195521011196","122899.5462963938","67538.53012667797","64187.46586770336","1.4130759412153366e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"50.0","6.0","0.7748409780000003","0.006465362271176033","122899.5462963938","67538.53012667797","44197.73703156566","1.0284192571069136e8","0.8196953067512499","Example4 Product-Temporal","subgradient","0.9"
"51.0","6.0","0.6973568802000003","0.004237241553336062","122899.5462963938","68210.7401890342","68210.7401890342","7.328261670349282e7","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"52.0","6.0","0.6973568802000003","0.002703662394015351","122899.5462963938","68210.7401890342","53445.46453647662","4.781559577091853e7","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"53.0","7.0","0.6973568802000003","0.0017646524895454084","122899.5462963938","68210.7401890342","67308.71057150718","3.0555662152894147e7","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"54.0","7.0","0.6973568802000003","0.0011138305996951819","122899.5462963938","68210.7401890342","51171.32246168195","1.9735230236800272e7","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"55.0","7.0","0.6973568802000003","0.0007203350127010084","122899.5462963938","68210.7401890342","67398.71962418927","1.2507167816047894e7","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"56.0","7.0","0.6276211921800003","0.000398616742981281","122899.5462963938","68210.7401890342","53677.80037301968","7.882473987322044e6","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"57.0","7.0","0.6276211921800003","0.00022534258431012233","122899.5462963938","68210.7401890342","67767.27965863902","4.391074263462827e6","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"58.0","7.0","0.6276211921800003","0.00011669869800571907","122899.5462963938","68210.7401890342","65478.64094323499","2.288749439373343e6","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"59.0","7.0","0.6276211921800003","6.909952634935533e-5","122899.5462963938","68210.7401890342","63594.94035730995","1.2122669257591078e6","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"60.0","7.0","0.6276211921800003","3.613209431793576e-5","122899.5462963938","68210.7401890342","65982.8187018873","600532.0880252661","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"61.0","7.0","0.5648590729620003","1.9958106478804497e-5","122899.5462963938","68210.7401890342","61606.35231616162","344752.66771021433","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"62.0","7.0","0.5648590729620003","2.1969486366878943e-5","122899.5462963938","68210.7401890342","61059.382730861245","233265.13679000403","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"63.0","7.0","0.5648590729620003","3.82606695002013e-5","122899.5462963938","68210.7401890342","60901.59076072206","215507.28954705532","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"64.0","7.0","0.5648590729620003","3.525844302070425e-5","122899.5462963938","68210.7401890342","61259.382730861245","220240.23976991532","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"65.0","7.0","0.5648590729620003","3.399562639193782e-5","122899.5462963938","68210.7401890342","61101.59076072206","229468.94396301694","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"66.0","7.0","0.5083731656658003","3.44825963784049e-5","122899.5462963938","68210.7401890342","61259.382730861245","229011.29033833396","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"67.0","7.0","0.5083731656658003","3.1379186665969105e-5","122899.5462963938","68210.7401890342","61101.59076072206","225763.30697335175","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"68.0","7.0","0.5083731656658003","3.4438709983462786e-5","122899.5462963938","68210.7401890342","61059.382730861245","224493.7677188737","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"69.0","8.0","0.5083731656658003","3.0419130690687457e-5","122899.5462963938","68210.7401890342","61101.59076072206","221290.41016987496","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"70.0","8.0","0.5083731656658003","3.4323783125663e-5","122899.5462963938","68210.7401890342","61059.382730861245","223972.22909881314","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"71.0","8.0","0.45753584909922024","2.7428311055000614e-5","122899.5462963938","68210.7401890342","61101.59076072206","221227.9775655601","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"72.0","8.0","0.45753584909922024","3.094523804559825e-5","122899.5462963938","68210.7401890342","61059.382730861245","222360.73308105778","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"73.0","8.0","0.45753584909922024","2.8922347362155517e-5","122899.5462963938","68210.7401890342","60901.59076072206","219322.56484907676","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"74.0","8.0","0.45753584909922024","3.014822374645336e-5","122899.5462963938","68210.7401890342","61059.382730861245","219427.91490750725","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"75.0","8.0","0.45753584909922024","2.8895224530802673e-5","122899.5462963938","68210.7401890342","60901.59076072206","219180.8550326378","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"76.0","8.0","0.4117822641892982","2.713142042191504e-5","122899.5462963938","68210.7401890342","61059.382730861245","219416.8748745246","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
"77.0","8.0","0.4117822641892982","2.6328943821976038e-5","122899.5462963938","68210.7401890342","60901.59076072206","217971.40570900243","0.8017623904358623","Example4 Product-Temporal","subgradient","0.9"
