"Iter","Time","α","step","UB","LB","Hk","Zk","Gap","Example","Method","δ"
"1.0","4.0","2.0","0.00615921213269765","75669.61861966972","51590.75317151781","51590.75317151781","76908.10014479684","0.4667283179235568","Example4 Product","subgradient","0.9"
"2.0","5.0","1.0","0.007148253930589725","75669.61861966972","60669.75807816144","60669.75807816144","119435.33429629415","0.2472378499051178","Example4 Product","subgradient","0.9"
"3.0","5.0","0.5","0.0040219972843755425","75669.61861966972","60669.75807816144","60669.75807816144","126799.19059668267","0.2472378499051178","Example4 Product","subgradient","0.9"
"4.0","5.0","0.25","0.0013031632581563964","75669.61861966972","60669.75807816144","60669.75807816144","103522.81870833521","0.2472378499051178","Example4 Product","subgradient","0.9"
"5.0","5.0","0.125","0.0003440409781590656","75669.61861966972","60669.75807816144","58516.704829706156","83296.56067413419","0.2472378499051178","Example4 Product","subgradient","0.9"
"6.0","5.0","0.125","8.671722976731367e-5","75669.61861966972","60669.75807816144","51270.940716281235","75669.61861966972","0.2472378499051178","Example4 Product","subgradient","0.9"
"7.0","5.0","0.125","8.050742858401632e-5","75669.61861966972","60669.75807816144","51809.511239766085","75669.61861966972","0.2472378499051178","Example4 Product","subgradient","0.9"
"8.0","6.0","0.125","8.630487242955554e-5","75107.17250535375","60669.75807816144","50415.27950709729","75669.61861966972","0.23796723251463198","Example4 Product","subgradient","0.9"
"9.0","6.0","0.125","8.048513038454406e-5","74718.03538569881","60669.75807816144","51893.630015842646","75107.17250535375","0.23155321122986575","Example4 Product","subgradient","0.9"
"10.0","6.0","0.125","7.772268014879591e-5","74585.78042876463","60669.75807816144","58400.39382948565","74718.03538569881","0.2293732955499022","Example4 Product","subgradient","0.9"
"11.0","7.0","0.125","6.475587030341173e-5","74437.08334694637","60669.75807816144","58853.13448427366","74585.78042876463","0.22692236964334606","Example4 Product","subgradient","0.9"
"12.0","7.0","0.125","7.353436986259508e-5","74279.38017414892","60669.75807816144","58872.10664727539","74437.08334694637","0.22432299925201726","Example4 Product","subgradient","0.9"
"13.0","7.0","0.125","5.704356355906402e-5","74279.38017414892","60669.75807816144","56299.715041121744","74279.38017414892","0.22432299925201726","Example4 Product","subgradient","0.9"
"14.0","8.0","0.125","6.41370382791894e-5","74057.2717798219","60669.75807816144","57977.44666020165","74279.38017414892","0.22066205842477885","Example4 Product","subgradient","0.9"
"15.0","8.0","0.125","5.098274390975912e-5","74057.2717798219","62968.685787745984","62968.685787745984","74057.2717798219","0.17609683056516648","Example4 Product","subgradient","0.9"
"16.0","9.0","0.125","5.539432451407016e-5","73831.72823641927","62968.685787745984","53716.70034048632","74057.2717798219","0.17251499396525888","Example4 Product","subgradient","0.9"
"17.0","9.0","0.125","4.286631512068083e-5","73831.72823641927","62968.685787745984","56185.53180478279","73831.72823641927","0.17251499396525888","Example4 Product","subgradient","0.9"
"18.0","9.0","0.125","5.0972314691706585e-5","73685.16741512629","62968.685787745984","60034.12975562866","73831.72823641927","0.17018747482682545","Example4 Product","subgradient","0.9"
"19.0","10.0","0.125","4.3427925811831566e-5","73685.16741512629","62968.685787745984","58012.774021136174","73685.16741512629","0.17018747482682545","Example4 Product","subgradient","0.9"
"20.0","11.0","0.125","5.650966047191011e-5","73630.06294811197","62968.685787745984","55816.41975367491","73685.16741512629","0.16931236577341338","Example4 Product","subgradient","0.9"
"21.0","11.0","0.125","4.1280849927943507e-5","73630.06294811197","62968.685787745984","61754.18172626263","73630.06294811197","0.16931236577341338","Example4 Product","subgradient","0.9"
"22.0","12.0","0.125","5.519877077318221e-5","73600.37706863567","62968.685787745984","62481.28865815612","73630.06294811197","0.16884092700817757","Example4 Product","subgradient","0.9"
"23.0","14.0","0.125","4.748419108212749e-5","73600.37706863567","62971.121512040176","62971.121512040176","73600.37706863567","0.1687957162167291","Example4 Product","subgradient","0.9"
"24.0","15.0","0.125","3.6319389951920176e-5","73600.37706863567","65807.21648226358","65807.21648226358","73600.37706863567","0.11842410305369032","Example4 Product","subgradient","0.9"
"25.0","16.0","0.125","3.748726680667899e-5","73429.54455403103","65807.21648226358","65783.72722646358","73600.37706863567","0.1158281489359427","Example4 Product","subgradient","0.9"
"26.0","17.0","0.125","3.2658735916451724e-5","73429.54455403103","65807.21648226358","63925.7299574381","73429.54455403103","0.1158281489359427","Example4 Product","subgradient","0.9"
"27.0","18.0","0.125","3.932123948846873e-5","73423.12582853994","65807.21648226358","63735.91206596036","73429.54455403103","0.11573061061363996","Example4 Product","subgradient","0.9"
"28.0","19.0","0.125","3.2973932310692295e-5","73423.12582853994","65807.21648226358","64859.40367807599","73423.12582853994","0.11573061061363996","Example4 Product","subgradient","0.9"
"29.0","21.0","0.125","3.792150165953392e-5","73387.99557079285","65807.21648226358","61552.69148981592","73423.12582853994","0.11519677466638391","Example4 Product","subgradient","0.9"
"30.0","22.0","0.125","1.6621303704349134e-5","73387.99557079285","69548.92214902976","69548.92214902976","73387.99557079285","0.055199610621379534","Example4 Product","subgradient","0.9"
