"Iter","Time","α","step","UB","LB","Hk","Zk","Gap","Example","Method","δ"
"1.0","5.0","2.0","3.650866786046135e-5","76908.10014479695","18927.456460964917","18927.456460964917","120093.18959072701","3.0633087865455426","Example4 Temporal","subgradient","0.9"
"2.0","5.0","2.0","9.145100671024052e-5","76908.10014479695","18927.456460964917","18927.456460964917","325010.26529554266","3.0633087865455426","Example4 Temporal","subgradient","0.9"
"3.0","6.0","2.0","0.00020119854498063298","76908.10014479695","29353.112775760237","29353.112775760237","734262.1769583662","1.6201003189108978","Example4 Temporal","subgradient","0.9"
"4.0","6.0","2.0","0.0003983868770724998","76908.10014479695","29353.112775760237","29353.112775760237","1.527183597379841e6","1.6201003189108978","Example4 Temporal","subgradient","0.9"
"5.0","6.0","2.0","0.0007986669803348245","76908.10014479695","29353.112775760237","29353.112775760237","3.115466627464776e6","1.6201003189108978","Example4 Temporal","subgradient","0.9"
"6.0","7.0","1.8","0.0014491043311844263","76908.10014479695","36453.78139827486","36453.78139827486","6.298826196135992e6","1.10974272612598","Example4 Temporal","subgradient","0.9"
"7.0","8.0","1.8","0.002554291433001102","76908.10014479695","36553.99439827485","36553.99439827485","1.1385197217962123e7","1.1039588534933569","Example4 Temporal","subgradient","0.9"
"8.0","8.0","1.8","0.004503834798296411","76908.10014479695","40181.6752304386","40181.6752304386","2.0612004403452322e7","0.9140093015966935","Example4 Temporal","subgradient","0.9"
"9.0","9.0","1.8","0.007684305472338558","76908.10014479695","43737.35233650586","43737.35233650586","3.7272205849981904e7","0.7584077690181709","Example4 Temporal","subgradient","0.9"
"10.0","9.0","1.8","0.013787521869581036","76908.10014479695","47451.49728219299","47451.49728219299","6.733427166006118e7","0.6207728849403044","Example4 Temporal","subgradient","0.9"
"11.0","10.0","1.62","0.022107180717541614","76908.10014479695","47451.49728219299","47451.49728219299","1.2121223920936137e8","0.6207728849403044","Example4 Temporal","subgradient","0.9"
"12.0","10.0","1.62","0.035745946634472676","76908.10014479695","50363.471005079744","50363.471005079744","1.9666482419873574e8","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"13.0","11.0","1.62","0.057912472931272045","76908.10014479695","50363.471005079744","50363.471005079744","3.1861374666389084e8","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"14.0","11.0","1.62","0.09382560842789639","76908.10014479695","50363.471005079744","50363.471005079744","5.161637625032485e8","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"15.0","12.0","1.62","0.1520048879324278","76908.10014479695","50363.471005079744","50363.471005079744","8.36194788163008e8","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"16.0","12.0","1.4580000000000002","0.22162978865679192","76908.10014479695","50363.471005079744","50363.471005079744","1.3546450497318184e9","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"17.0","13.0","1.4580000000000002","0.3231428939129148","76908.10014479695","50363.471005079744","50363.471005079744","1.9750901342990398e9","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"18.0","13.0","1.4580000000000002","0.47114900137634197","76908.10014479695","50363.471005079744","50363.471005079744","2.879699067598049e9","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"19.0","14.0","1.4580000000000002","0.6869419060580189","76908.10014479695","50363.471005079744","50363.471005079744","4.198618892348005e9","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"20.0","14.0","1.4580000000000002","1.0015679610839037","76908.10014479695","50363.471005079744","50363.471005079744","6.121603996833442e9","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"21.0","15.0","1.3122000000000003","1.3142634743804797","76908.10014479695","50363.471005079744","50363.471005079744","8.925316279173206e9","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"22.0","15.0","1.3122000000000003","1.7245825269282467","76908.10014479695","50363.471005079744","50363.471005079744","1.1711825016315203e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"23.0","16.0","1.3122000000000003","2.2630031876814267","76908.10014479695","50363.471005079744","50363.471005079744","1.5368281781192934e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"24.0","17.0","1.3122000000000003","2.969518778721749","76908.10014479695","50363.471005079744","50363.471005079744","2.016628434806549e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"25.0","17.0","1.3122000000000003","3.8966085372848602","76908.10014479695","50363.471005079744","50363.471005079744","2.6462223316315662e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"26.0","18.0","1.1809800000000004","4.601822146624238","76908.10014479695","50363.471005079744","50363.471005079744","3.472375443045354e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"27.0","18.0","1.1809800000000004","5.434665314981857","76908.10014479695","50363.471005079744","50363.471005079744","4.100809111075581e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"28.0","19.0","1.1809800000000004","6.4182364399488385","76908.10014479695","50363.471005079744","50363.471005079744","4.8429767043459206e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"29.0","20.0","1.1809800000000004","7.579814267112344","76908.10014479695","50363.471005079744","50363.471005079744","5.719461788646324e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
"30.0","20.0","1.1809800000000004","8.951614449435901","76908.10014479695","50363.471005079744","50363.471005079744","6.7545731435034164e10","0.5270611538477931","Example4 Temporal","subgradient","0.9"
