"Iter","Time","α","step","UB","LB","Hk","Zk","Gap","Example","Method","δ"
"1.0","7.0","2.0","0.015043441280234403","541724.7158910504","515551.12","515551.12","3.5794533166604224e6","0.05076818743221897","Example4 Product","subgradient",0.9
"2.0","8.0","1.0","0.009774829929785487","541724.7158910504","515551.12","515551.12","4.497236206005153e6","0.05076818743221897","Example4 Product","subgradient",0.9
"3.0","9.0","1.0","0.005337519253896502","541724.7158910504","515551.12","515551.12","3.565966164257161e6","0.05076818743221897","Example4 Product","subgradient",0.9
"4.0","10.0","1.0","0.0036092567599463883","541724.7158910504","515551.12","515551.12","3.0026605017859535e6","0.05076818743221897","Example4 Product","subgradient",0.9
"5.0","12.0","1.0","0.0027650124888457944","541724.7158910504","515551.12","515551.12","2.474257642425354e6","0.05076818743221897","Example4 Product","subgradient",0.9
"6.0","13.0","1.0","0.00232737427973561","541724.7158910504","515551.12","515551.12","2.2405620966347065e6","0.05076818743221897","Example4 Product","subgradient",0.9
"7.0","15.0","1.0","0.002064254364734422","541724.7158910504","515551.12","515551.12","2.08279755087118e6","0.05076818743221897","Example4 Product","subgradient",0.9
"8.0","17.0","1.0","0.0018513566954773473","541724.7158910504","515551.12","515551.12","1.9543269133177244e6","0.05076818743221897","Example4 Product","subgradient",0.9
"9.0","18.0","1.0","0.0017843357117828392","541724.7158910504","515551.12","515551.12","1.858596514157245e6","0.05076818743221897","Example4 Product","subgradient",0.9
"10.0","20.0","1.0","0.0015768550778983907","541724.7158910504","515551.12","515551.12","1.7771348039834092e6","0.05076818743221897","Example4 Product","subgradient",0.9
"11.0","21.0","0.9","0.0013593296306867453","541724.7158910504","515551.12","515551.12","1.684775611807594e6","0.05076818743221897","Example4 Product","subgradient",0.9
"12.0","23.0","0.9","0.0012693856101776352","541724.7158910504","515551.12","515551.12","1.546512862991795e6","0.05076818743221897","Example4 Product","subgradient",0.9
"13.0","24.0","0.9","0.0011929973896795502","541724.7158910504","515551.12","515551.12","1.5178718325213064e6","0.05076818743221897","Example4 Product","subgradient",0.9
"14.0","26.0","0.9","0.001126204689328231","541724.7158910504","515551.12","515551.12","1.4639279992768753e6","0.05076818743221897","Example4 Product","subgradient",0.9
"15.0","28.0","0.9","0.0010680656508483613","541724.7158910504","515551.12","515551.12","1.4208775523637324e6","0.05076818743221897","Example4 Product","subgradient",0.9
"16.0","30.0","0.81","0.0009440641711687986","541724.7158910504","515551.12","515551.12","1.3913676994413303e6","0.05076818743221897","Example4 Product","subgradient",0.9
"17.0","33.0","0.81","0.0008932557205349656","541724.7158910504","515551.12","515551.12","1.308738750556106e6","0.05076818743221897","Example4 Product","subgradient",0.9
"18.0","35.0","0.81","0.0008543790424209821","541724.7158910504","515551.12","515551.12","1.291100713208943e6","0.05076818743221897","Example4 Product","subgradient",0.9
"19.0","37.0","0.81","0.000827886707821114","541724.7158910504","515551.12","515551.12","1.265522190982188e6","0.05076818743221897","Example4 Product","subgradient",0.9
"20.0","39.0","0.81","0.0007888791213042053","541724.7158910504","515551.12","515551.12","1.243852529240625e6","0.05076818743221897","Example4 Product","subgradient",0.9
