"Iter","Time","α","step","UB","LB","Hk","Zk","Gap","Example","Method","δ"
"1.0","4.0","2.0","0.002764797946480279","541724.7158910505","515551.12","515551.12","993857.1023684217","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"2.0","5.0","1.0","0.014614663827397517","541724.7158910505","515551.12","515551.12","5.572181857046498e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"3.0","5.0","0.5","0.04621115849849303","541724.7158910505","515551.12","515551.12","3.249340120505642e7","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"4.0","6.0","0.25","0.07531064935644946","541724.7158910505","515551.12","515551.12","1.0474460458583452e8","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"5.0","6.0","0.125","0.06169778012669736","541724.7158910505","515551.12","515551.12","1.7129355605027163e8","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"6.0","6.0","0.0625","0.025225307101368583","541724.7158910505","515551.12","515551.12","1.4016166518370676e8","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"7.0","7.0","0.03125","0.005079121331104871","541724.7158910505","515551.12","515551.12","5.675110487533131e7","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"8.0","7.0","0.015625","0.00046328809386231144","541724.7158910505","515551.12","515551.12","1.0774515538529288e7","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"9.0","8.0","0.015625","6.045473832818461e-7","541724.7158910505","515551.12","515551.12","1.06512465538031e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"10.0","8.0","0.015625","6.774705334158622e-7","541724.7158910505","515551.12","515551.12","1.0575285882026558e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"11.0","9.0","0.0140625","6.249107740739901e-7","541724.7158910505","515551.12","515551.12","1.0495100731772846e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"12.0","9.0","0.0140625","7.065722672737475e-7","541724.7158910505","515551.12","515551.12","1.0425248127625341e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"13.0","10.0","0.0140625","8.123491975858728e-7","541724.7158910505","515551.12","515551.12","1.0356177821495421e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"14.0","10.0","0.0140625","9.344249881905802e-7","541724.7158910505","515551.12","515551.12","1.0291198686131894e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"15.0","11.0","0.0140625","1.4312399017430145e-6","541724.7158910505","515551.12","515551.12","1.0230313561875299e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"16.0","11.0","0.01265625","2.0039699594092814e-6","541724.7158910505","515551.12","515551.12","1.0175466703732476e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"17.0","12.0","0.01265625","3.2036901598056155e-6","541724.7158910505","515551.12","515551.12","1.0129075777444413e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"18.0","12.0","0.01265625","3.231135198436291e-6","541724.7158910505","515551.12","515551.12","1.0082690456939462e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"19.0","13.0","0.01265625","3.591817447688664e-6","541724.7158910505","515551.12","515551.12","1.0032171491102661e6","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"20.0","13.0","0.01265625","3.553009354363613e-6","541724.7158910505","515551.12","515551.12","998249.6403419075","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"21.0","14.0","0.011390625000000001","3.121259514742862e-6","541724.7158910505","515551.12","515551.12","993686.0319633727","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"22.0","14.0","0.011390625000000001","3.5478560529259635e-6","541724.7158910505","515551.12","515551.12","989551.3547963882","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"23.0","15.0","0.011390625000000001","3.445914267440139e-6","541724.7158910505","515551.12","515551.12","985520.9665130454","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"24.0","16.0","0.011390625000000001","3.6898779290346368e-6","541724.7158910505","515551.12","515551.12","981691.9498883564","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"25.0","16.0","0.011390625000000001","3.842067122560498e-6","541724.7158910505","515551.12","515551.12","977700.2744981878","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"26.0","17.0","0.010251562500000002","3.3841554589613758e-6","541724.7158910505","515551.12","515551.12","973857.8385437637","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"27.0","17.0","0.010251562500000002","3.773449739755326e-6","541724.7158910505","515551.12","515551.12","970598.4692936986","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"28.0","18.0","0.010251562500000002","3.7939348575912886e-6","541724.7158910505","515551.12","515551.12","967315.9941049203","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"29.0","18.0","0.010251562500000002","3.843333304644037e-6","541724.7158910505","515551.12","515551.12","964161.3834871635","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"30.0","19.0","0.010251562500000002","4.006861583257032e-6","541724.7158910505","515551.12","515551.12","961116.4281587083","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"31.0","19.0","0.009226406250000003","3.804913787238444e-6","541724.7158910505","515551.12","515551.12","958296.0909615546","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"32.0","20.0","0.009226406250000003","3.914326713698444e-6","541724.7158910505","515551.12","515551.12","955683.462701545","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"33.0","21.0","0.009226406250000003","3.942756256134009e-6","541724.7158910505","515551.12","515551.12","953443.5381828708","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"34.0","21.0","0.009226406250000003","4.081155304356948e-6","541724.7158910505","515551.12","515551.12","951090.278789064","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"35.0","22.0","0.009226406250000003","4.010053739435587e-6","541724.7158910505","515551.12","515551.12","948994.6829764395","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"36.0","22.0","0.008303765625000003","3.876006153312788e-6","541724.7158910505","515551.12","515551.12","946824.1806841354","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"37.0","23.0","0.008303765625000003","3.9669069221380905e-6","541724.7158910505","515551.12","515551.12","944848.1698760897","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"38.0","24.0","0.008303765625000003","3.891328059485765e-6","541724.7158910505","515551.12","515551.12","942966.4961579846","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"39.0","24.0","0.008303765625000003","4.1307778545034965e-6","541724.7158910505","515551.12","515551.12","941225.3014640259","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"40.0","25.0","0.008303765625000003","4.1390471253687925e-6","541724.7158910505","515551.12","515551.12","939626.0574247175","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"41.0","25.0","0.007473389062500002","3.8297860069589815e-6","541724.7158910505","515551.12","515551.12","938076.3064534237","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
"42.0","26.0","0.007473389062500002","4.3000708361815575e-6","541724.7158910505","515551.12","515551.12","936671.9521213521","0.05076818743221919","Example4 Product Temporal","subgradient",0.9
